LibraryLayout	Library_Name	Run	Replicate_Name	Sex	dev_stage	organism_part	RNA	Sample_Name
SINGLE	Male Midgut (Mir)	ERR2117085	Male_Midgut_Mir_2	male	Adult	Midgut	microRNA	Male_Midgut_Mir
SINGLE	Male Midgut (Mir)	ERR2117086	Male_Midgut_Mir_3	male	Adult	Midgut	microRNA	Male_Midgut_Mir
PAIRED	Male Salivary Gland	ERR2617951	Male_Salivary_Gland_1	male	Adult	Salivary gland	mRNA	Male_Salivary_Gland
PAIRED	Male Salivary Gland	ERR2617952	Male_Salivary_Gland_2	male	Adult	Salivary gland	mRNA	Male_Salivary_Gland
PAIRED	Male Testis	ERR2105061	Male_Testis_1	male	Adult	Testis	mRNA	Male_Testis
PAIRED	Male Testis	ERR2105062	Male_Testis_2	male	Adult	Testis	mRNA	Male_Testis
PAIRED	Male Testis	ERR2105063	Male_Testis_3	male	Adult	Testis	mRNA	Male_Testis
SINGLE	Male Testis (Mir)	ERR2117087	Male_Testis_Mir_1	male	Adult	Testis	microRNA	Male_Testis_Mir
SINGLE	Male Testis (Mir)	ERR2117088	Male_Testis_Mir_2	male	Adult	Testis	microRNA	Male_Testis_Mir
SINGLE	Male Testis (Mir)	ERR2117089	Male_Testis_Mir_3	male	Adult	Testis	microRNA	Male_Testis_Mir
PAIRED	Male Thoracicoabdominal Ganglion	ERR2617955	Male_Thoracicoabdominal_Ganglion_1	male	Adult	Thoracicabdominal ganglion	mRNA	Male_Thoracicoabdominal_Ganglion
PAIRED	Male Thoracicoabdominal Ganglion	ERR2617956	Male_Thoracicoabdominal_Ganglion_2	male	Adult	Thoracicabdominal ganglion	mRNA	Male_Thoracicoabdominal_Ganglion
PAIRED	Male Thoracicoabdominal Ganglion (Mir)	ERR2744044	Male_Thoracicoabdominal_ganglion_Mir_1	male	Adult	Thoracicoabdominal Ganglion 	microRNA	Male_Thoracicoabdominal_ganglion_Mir
PAIRED	Male Thoracicoabdominal Ganglion (Mir)	ERR2744045	Male_Thoracicoabdominal_ganglion_Mir_2	male	Adult	Thoracicoabdominal Ganglion 	microRNA	Male_Thoracicoabdominal_ganglion_Mir
PAIRED	Male Tubule	ERR2105064	Male_Tubule_1	male	Adult	Malpighian Tubules	mRNA	Male_Tubule
PAIRED	Male Tubule	ERR2105065	Male_Tubule_2	male	Adult	Malpighian Tubules	mRNA	Male_Tubule
PAIRED	Male Tubule	ERR2105066	Male_Tubule_3	male	Adult	Malpighian Tubules	mRNA	Male_Tubule
SINGLE	Male Tubule (Mir)	ERR2117090	Male_Tubule_Mir_1	male	Adult	Malpighian Tubules	microRNA	Male_Tubule_Mir
SINGLE	Male Tubule (Mir)	ERR2117091	Male_Tubule_Mir_2	male	Adult	Malpighian Tubules	microRNA	Male_Tubule_Mir
SINGLE	Male Tubule (Mir)	ERR2117092	Male_Tubule_Mir_3	male	Adult	Malpighian Tubules	microRNA	Male_Tubule_Mir
PAIRED	Male Whole	ERR2103705	Male_Whole_1	male	Adult	whole flies	mRNA	Male_Whole
PAIRED	Male Whole	ERR2103706	Male_Whole_2	male	Adult	whole flies	mRNA	Male_Whole
PAIRED	Male Whole	ERR2103707	Male_Whole_3	male	Adult	whole flies	mRNA	Male_Whole
SINGLE	Male Whole (Mir)	ERR2117093	Male_Whole_Mir_1	male	Adult	Whole Flies	microRNA	Male_Whole_Mir
SINGLE	Male Whole (Mir)	ERR2117094	Male_Whole_Mir_2	male	Adult	Whole Flies	microRNA	Male_Whole_Mir
SINGLE	Male Whole (Mir)	ERR2117095	Male_Whole_Mir_3	male	Adult	Whole Flies	microRNA	Male_Whole_Mir
PAIRED	Ovary	ERR2102258	Ovary_1	female	Adult	Ovary	mRNA	Ovary
PAIRED	Ovary	ERR2102259	Ovary_2	female	Adult	Ovary	mRNA	Ovary
PAIRED	Ovary	ERR2102260	Ovary_3	female	Adult	Ovary	mRNA	Ovary
